birth	death	gender	hair	height	name	race	realm	spouse
Before the creation of ,Arda	Immortal	Male		Varies	Oromë	Ainur		Vána
TA 2873	TA 2933	Male	Dark (film)		Arathorn II	Men		Gilraen
FA 320	FA 510	Male	Black	Tall	Maeglin	Elves		None
					Brodda			
SA 350	SA 751	Male			Tar-Elendil	Men	Númenor	Unnamed wife
					The Moth			
TA 2570	TA 2659	Male			Fréa	Men	Rohan	Unnamed wife
Late ,Second Age		Male			Ohtar	Men		
TA 2767	March 17 ,3019	Male		4'5 - 5' (Estimate)	Dáin II Ironfoot	Dwarves	Lonely Mountain	Unnamed wife
TA 2852	TA 2934	Female	Black		Belladonna (Took) Baggins	Hobbits		Bungo Baggins
					River-woman			
TA 820	TA 1015	Male			Ciryandil	Men	Gondor	Unnamed wife
					Aghan			
TA 2995	Before ,FO 63	Female	Brown (film)		Diamond Took	Hobbits		Peregrin Took
		Male	Golden (movie)	6'3 (movie)	Galdor of the Havens	Elves		
FA 316		Male			Beldir	Men		Unnamed wife
					Man in the Moon			
					Bilbo Gamgee			
SA 2516	SA 2825	Male			Tar-Calmacil	Men	Númenor	Unnamed wife
FO 10	FO 112	Male			Faramir Took I	Hobbits		Goldilocks Gardner
	Possibly end of ,First Age	Female		Enormous	Ungoliant	Great Spiders		
					Ruffian Leader			
FA 450	SA 3441	Male	Possibly golden (book) Dark brown (movie)	Tall	Gil-galad	Elves	Havens of Sirion,Lindon	
TA 2923	Early ,Fourth Age	Male			Old Noakes	Hobbits		Unnamed wife
FA 214	FA 473	Male			Azaghâl	Dwarves		
					Merimac Brandybuck			
SR 1343		Male			Marmadas Brandybuck	Hobbits		Unnamed wife
SA 711	Mid ,Second Age	Male			Hallatan	Men		Unnamed wife
about ,FA 430	FA 495	Male			Sador	Men		None known
TA 2990	Early ,Fourth Age	Male			Erchirion	Men		
					Boldog (Character)			
					Elmo			
					Cottar			
Mid ,First Age	FA 495	Male			Indor	Men		Unnamed wife
FA 307	FA 398	Male			Malach	Men		Meldis
Mid-,Second Age	March 15 ,3019	Male	Brown, graying, later white	7' 1" (2.13 metres)	Witch-king of Angmar	Men,Wraith	Angmar,Minas Morgul,Osgiliath	
FA 442	FA 473	Male	Golden	Tallest of all mortal men save his son Tuor only	Huor	Men		Rían
SA 2618	SA 2899	Male			Tar-Ardamin	Men	Númenor	Unnamed wife
	FA 503	Male			Naugladur	Dwarves		
TA 2843		Male	Dark Brown (films)		Bofur	Dwarves		
TA 2955	FO 34	Male	Black	Tall	Imrahil	Men		Unnamed wife
					Ruby (Bolger) Baggins			
Mid ,First Age	FA 473	Male			Uldor	Men		
					Ferdibrand Took			
TA 2903	TA 2999	Male			Falco Chubb-Baggins	Hobbits		Unnamed wife
TA 899	TA 1149	Male			Hyarmendacil I	Men	Gondor	Unnamed wife
					Ponto Baggins I			
TA 2767	TA 2858	Male			Bosco Boffin	Hobbits		Unnamed wife
TA 2700	TA 2811	Male			Beregond	Men		Unnamed wife
